resume_text,category
vue cypress ui next.js performance wcag adobe web e2e react query web unit vite management redux sass angular figma lighthouse core css3 accessibility javascript vitals design api implementation library tests ux first responsive integration testing graphql jest zustand design react xd webpack typescript nuxt.js rest html5 mobile rollup state,Frontend Developer
gcp maintenance computer monitoring kafka integration bigquery pipeline sql healthcare development engineer platform science etl years python data data quality bachelors spark streaming 3,Data Engineer
scala batch lakehouse elt spark expectations snowflake databricks modeling dimensional schema processing warehouse quality airflow star great kafka testing dagster lake apache data pipeline,Data Engineer
engineering years load balancing data sql as gke gcp helm kubernetes services charts certified 5 networking cloud cdn cloud experience engineer,Cloud Architect
python machine learning deep learning tensorflow pytorch scikit-learn pandas numpy matplotlib seaborn statistics probability regression classification neural networks nlp computer vision a/b testing feature engineering model deployment jupyter notebook r sql data visualization tableau power bi exploratory data analysis hypothesis testing time series forecasting ensemble methods xgboost random forest gradient boosting cross validation hyperparameter tuning,Data Scientist
network 3 qradar analysis 2 science vpn splunk years log threat soc firewalls bachelors computer management analyst security security security+ security vulnerability,Cybersecurity Analyst
computer management ceh threat splunk firewalls siem information years 2 prioritization tier platforms security qradar soc bachelors analysis log hunting patch security+ security vpn experience science 3,Cybersecurity Analyst
5 years data engineer apache spark kafka built real-time data pipeline processing 10GB/hour migrated data warehouse to snowflake reducing costs 40% designed dimensional model 30+ tables dbt transformation testing airflow workflow orchestration python sql scala strong skills collaborated with data scientists analysts,Data Engineer
28 hired framework hr multi-jurisdiction labour 200+ payroll 150 employee employees workday 8 manager from participation reduced human 45 to hire acquisition days managed implemented talent engagement marketing,HR Manager
triton python latency serving airflow training model spark grpc kafka mlops multi-gpu horovod inference pytorch drift deployment pruning onnx tensorflow real-time actions java api quantization monitoring store model testing github a/b tensorrt shadow feature optimization,Machine Learning Engineer
3 years data scientist experience tensorflow keras pytorch built recommendation system for e-commerce increasing ctr by 22% natural language processing text classification topic modeling data wrangling cleaning transformation pandas numpy model evaluation metrics precision recall f1 roc auc collaborated with product engineering teams on ml integration bachelors statistics masters machine learning,Data Scientist
law management to employee performance framework resources to from review 28 45 payroll employees talent reduced days days implemented hire across managed participation engineering compliance hired mba engagement multi-jurisdiction product time survey hr labour 150 marketing workday acquisition 200+ 8 85% manager employees,HR Manager
page load teams code chrome typescript figma lazy agile 2.1 product developer time loading testing firefox frontend react with compliance standups react ux daily used to 4 built system backend collaborated implemented reviews component 50% design cross accessibility across,Frontend Developer
management monthly strong reporting budgeting root annual dashboards analysis analyst skills cause finance kpi experience analysis quarterly 3 variance financial bachelors years sql,Finance Analyst
recommendation transformation for bachelors precision engineering natural with recall model numpy machine auc ml text by tensorflow collaborated pandas f1 data ctr language processing classification e-commerce system 3 evaluation integration teams topic keras masters built cleaning experience learning statistics product 22% modeling on scientist increasing years pytorch,Data Scientist
compliance from acquisition implemented 28 product 200+ review labour 150 resources performance employees framework to payroll participation human manager talent days mba years managed workday reduced 45 to time multi-jurisdiction across hired marketing survey hire 8,HR Manager
tests adobe implementation testing html5 lighthouse integration css3 bundlers webpack ux core query react state e2e first xd management library vite jest integration ui mobile api graphql nuxt.js unit sass vue javascript react rest performance redux rollup web accessibility typescript responsive wcag design cypress vitals,Frontend Developer
training technology delivery analysis employee partner 5 setting needs performance selection experience human hris administration conflict management resolution onboarding business bachelor generalist goal years,HR Manager
10GB/hour testing migrated dbt orchestration sql model engineer python pipeline apache data dimensional to analysts collaborated 30+ scientists reducing 5 spark kafka 40%,Data Engineer
boot caching microservices rabbitmq rest queue mysql kotlin systems flask python postgresql graphql backend api mongodb message redis fastapi jwt kafka performance java oauth2 authentication spring grpc distributed optimization node.js,Backend Developer
aws fintech graphql 3 development strong engineer rest typescript lambda years node.js backend typescript javascript skills postgresql serverless mongodb bachelors software engineering databases,Backend Developer
scrum design microservices rest solid cloud integration c++ unit agile postgresql principles mongodb code sql review native tdd testing systems patterns data gcp git availability scalability design distributed api mysql nosql grpc azure testing go redis elasticsearch rust java structures high aws,Software Engineer
auc masters precision collaborated language keras e-commerce bachelors ctr modeling for processing 3 recall built natural data scientist on roc text transformation data by machine statistics metrics recommendation numpy topic teams system tensorflow years evaluation classification f1 increasing model integration pytorch ml wrangling learning engineering experience with 22%,Data Scientist
mixpanel sql growth experience 2 manager user analytics a/b design app skills testing analysis data product experiment associate stories prioritization years product consumer engineering strong mba,Product Manager
certified threat splunk platforms soc information tier experience security+ science qradar patch analyst ceh hunting 2 security network years,Cybersecurity Analyst
cloud gcp grafana github monitoring cost computer gitops years 4 bsc engineer best fintech engineering startup cka infrastructure ci/cd certifications kubernetes,DevOps Engineer
built weekly investment saving prepared quarterly financial 2 comparable hours power dashboard reporting analysis vba transactions 10 m&a c-suite precedent cfa actual level 4 automation analyst models finance dcf visibility analysis excel finance banking presentations bi variance candidate vs,Finance Analyst
kafka api oauth2 systems django performance authentication spring java distributed optimization queue postgresql boot api message backend redis kotlin node.js authorization,Backend Developer
rules cybersecurity threat certifications cybersecurity penetration ceh tests certification red msc team iso secure false years modeling team exercises containment social sdlc web breach siem 6 conducted reducing,Cybersecurity Analyst
experiment bachelors analytics engineering consumer user product growth associate design product a/b 2 experience feature stories years manager mixpanel skills sql mba data testing,Product Manager
accessibility xd sass next.js zustand web mobile design html5 implementation vitals javascript ui webpack api figma first graphql wcag cypress integration react redux nuxt.js responsive design ux css3 jest angular vue performance bundlers library testing,Frontend Developer
lazy implemented to cross page with improved 50% collaborated typescript chrome agile frontend ux sprint loading safari compliance react developer 4 across designers accessibility system teams through firefox wcag,Frontend Developer
gaap ifrs reduction cost forecasting management tableau merger hedging modeling advanced power management reporting valuation flow analysis standards cash analysis accounting portfolio risk p&l stakeholder acquisition financial variance analysis excel bi communication balance financial financial budgeting modeling,Finance Analyst
msc tests web cybersecurity applications analyst iso built exercises implementation containment cissp 30+ red penetration conducted 6 team positives penetration 27001 incident response rules breach false siem modeling threat ceh certifications team networks social secure years sdlc 60% certification cybersecurity,Cybersecurity Analyst
talent acquisition recruitment hiring onboarding employee relations performance management payroll hris workday bamboohr labour law compliance employment regulations training development learning management succession planning workforce planning diversity equity inclusion employee engagement retention organizational development change management,HR Manager
b2b mba okr studies revenue marketing engineering framework product competitive planning 50+ cross metrics 3 launched background product product design saas functional years product manager product managed previous people dashboards strategy usability roadmap major 5 team user analysis positioning defined conducted software interviews 40% quarterly growth features,Product Manager
xgboost data validation learning forest power pandas boosting series sql bi matplotlib neural tableau analysis jupyter probability gradient statistics computer model feature notebook visualization deep scikit-learn r learning forecasting,Data Scientist
ml ml pytorch software optimization aws model skills from engineer built gcp deployment strong alerting 6 degradation bsc systems engineering go training to pipeline platform model code infrastructure years automated monitoring science onnx computer performance,Machine Learning Engineer
5 reporting business relations bachelor conflict human setting analysis psychology hr management onboarding resolution performance employee company goal hris training technology generalist years recruitment,HR Manager
rest years typescript backend software javascript engineer development engineering skills node.js databases bachelors experience strong fintech 3 serverless api lambda graphql typescript mongodb,Backend Developer
ceh team led analyst applications tests cybersecurity reducing cybersecurity engineering msc built rules certification sdlc years social certifications testing 60% modeling red secure false containment breach positives incident cissp team 6 implementation penetration siem web conducted networks penetration 27001 response iso,Cybersecurity Analyst
investigation monthly dashboards analysis bachelors experience annual planning budgeting strong kpi cause root quarterly skills reporting excel sql fp&a financial years finance analysis,Finance Analyst
rest engineer javascript fundamentals years single integration sector responsive bsc react graphql 2 unit tailwind strong page applications testing technology css api e-commerce,Frontend Developer
spark tables data python skills sql data built testing processing pipeline kafka scientists workflow apache years migrated data designed airflow collaborated 40% transformation real-time orchestration 30+ to model reducing data,Data Engineer
javascript development node.js api serverless databases lambda engineering typescript rest graphql typescript strong experience backend postgresql bachelors 3 fintech skills mongodb engineer aws software,Backend Developer
systems quantization 50+ tensorrt mlflow team aws automated feature with designed sagemaker docker production in 3 model machine ml 10M serving implemented predictions store platform learning 60% engineers of by drift years handling scrum kubernetes production daily pipelines latency mlops built kubeflow 4 retraining,Machine Learning Engineer
wireshark burp threat intelligence ethical zero security 27001 nist suite forensics application trust ids qualys firewall web security testing metasploit assessment response hunting 10 security top soc incident network endpoint penetration nessus vulnerability compliance operations ips threat framework siem security owasp,Cybersecurity Analyst
bash kubernetes automation as developers devops 2 aws incident 15 users implemented maintained full clusters time reduced from linux terraform on expert self-healing mentored 500k response years practices engineer built 6 on-call python deployment managed sla terraform code devops infrastructure to serving 99.9% kubernetes infrastructure minutes active hours,DevOps Engineer
financial modeling forecasting budgeting dcf valuation merger acquisition p&l balance sheet cash flow analysis excel vba advanced modeling power bi tableau financial dashboards gaap ifrs accounting standards variance analysis cost reduction risk management hedging investment analysis portfolio management financial reporting stakeholder communication,Finance Analyst
grooming management stories strategy agile figma market research customer user go-to-market product team wireframing metrics planning product analysis product planning roadmap sprint cross,Product Manager
consumer strong analytics bachelors experiment sql prioritization testing analysis growth associate a/b feature product years skills,Product Manager
aws api mongodb ci/cd go development git nosql structures agile testing tdd integration scrum principles rest postgresql gcp distributed systems code mysql system c++,Software Engineer
strong pytorch gcp ml onnx degradation engineering software engineer go from 6 ml skills terraform years computer as alerting training deployment performance model platform bsc optimization model systems,Machine Learning Engineer
mlflow implemented latency 50+ docker years learning models built store kubeflow production in serving engineer building by designed detection systems model with quantization engineers reduced pipelines daily ml led 10M team using tensorrt production agile scrum 3 aws ml inference drift predictions feature platform of sagemaker mlops machine automated handling retraining 4,Machine Learning Engineer
2 bash users developers serving minutes mentored infrastructure python kubernetes terraform infrastructure managed to automation implemented time sla 99.9% full terraform devops code clusters deployment response hours linux 6 from maintained kubernetes 15 reduced daily self-healing aws 500k,DevOps Engineer
cash financial valuation modeling p&l investment flow advanced dcf hedging modeling variance portfolio tableau financial standards power accounting analysis ifrs merger risk stakeholder management,Finance Analyst
assessment testing security security zero network 27001 ids security qualys security vulnerability nessus penetration web burp metasploit threat iso ips application operations 10 top trust framework compliance ethical forensics firewall suite hunting,Cybersecurity Analyst
pipeline django day latency implemented science software computer engineer agile reviews handling bsc database java 40% strong requests mentored designed algorithms schema queries planning sprint junior,Software Engineer
4 years backend developer python fastapi built rest api serving 5M monthly active users database optimization query tuning postgresql redis caching layer 80% latency reduction rabbitmq async processing background jobs jwt oauth2 security implementation docker kubernetes deployment agile team code reviews tdd,Backend Developer
quantization redis shadow deployment kubernetes training grpc docker onnx real-time optimization drift kafka python monitoring inference scala pruning java tensorrt tensorflow model spark mlflow feature,Machine Learning Engineer
3 backend engineer databases bachelors skills typescript lambda typescript api fintech javascript serverless mongodb development aws node.js experience software years,Backend Developer
40% planning ci/cd per microservices optimized agile bsc handling computer mentored junior actions retrospectives schema developers 5 software sprint day requests python boot database architecture years queries built science latency reviews kubernetes,Software Engineer
of using huggingface deployed specialization product feature bert developed and 5 models daily guide nlp tasks computer to data using years serving in thousands predictive science experience tests transformers sentiment scikit-learn models learning decisions production sql to modeling achieving for classification designed engineering science requests python error,Data Scientist
implementation secure years threat msc tests networks rules ceh sdlc built siem engineering positives 27001 analyst iso team exercises penetration conducted certifications incident social,Cybersecurity Analyst
6 years devops engineer aws kubernetes terraform managed infrastructure serving 500k daily active users built self-healing kubernetes clusters reduced deployment time from 2 hours to 15 minutes implemented infrastructure as code full terraform on-call incident response 99.9% sla maintained mentored developers on devops practices linux expert bash python automation,DevOps Engineer
patterns design git algorithms design native ci/cd redis tdd system gcp solid scrum cloud azure review elasticsearch high grpc mysql rest java unit aws systems data microservices postgresql testing structures rust testing python code api sql scalability distributed agile development principles c++ integration availability,Software Engineer
cloud architecture design aws azure gcp solution design infrastructure planning multi-cloud hybrid cloud strategy serverless containers kubernetes networking vpc subnets routing security groups cost optimization reserved instances spot well-architected framework pillars disaster recovery business continuity iam identity access management migration lift shift refactor,Cloud Architect
java python c++ go rust algorithms data structures system design microservices rest api grpc sql postgresql mysql nosql mongodb redis elasticsearch git ci/cd agile scrum tdd unit testing integration testing distributed systems scalability high availability code review design patterns solid principles aws azure gcp cloud native development,Software Engineer
planning acquisition law development management relations planning talent training employment employee hiring workday succession learning change bamboohr retention regulations management diversity hris compliance,HR Manager
information responsive years frontend unit next.js technology graphql react css experience tailwind rest html design integration single tests javascript css page engineer strong 2 react api bsc fundamentals library jest testing,Frontend Developer
okr strategy engineering revenue product 40% background interviews 50+ 15 quarterly framework features b2b marketing product team planning cross major dashboards product defined 5 studies analysis roadmap previous saas managed functional 3 engineer,Product Manager
reviews retrospectives scrum architecture django pipeline junior engineer python developers built schema microservices code optimized requests science day github agile software computer boot algorithms designed implemented java bsc reducing ci/cd actions spring skills mentored database handling strong 1M per 5 40% sprint queries latency kubernetes years planning,Software Engineer
40% snowflake sql airflow 5 data dbt built strong data python reducing workflow with 30+ engineer skills testing tables orchestration scientists processing migrated real-time 10GB/hour warehouse to collaborated data apache kafka costs dimensional analysts data model pipeline years,Data Engineer
on 500k engineer 15 developers deployment built implemented kubernetes terraform 6 users code aws infrastructure devops infrastructure maintained full 2 python minutes bash sla as response self-healing devops managed active from automation clusters terraform linux hours reduced mentored practices to years 99.9% expert on-call incident,DevOps Engineer
users code built background query reviews backend python docker agile team 4 oauth2 optimization implementation caching async jwt years layer active api processing 5M 80% reduction jobs rest deployment tdd monthly latency rabbitmq developer,Backend Developer
migration continuity identity strategy gcp security aws recovery cost lift design optimization hybrid serverless subnets architecture pillars instances management routing networking design groups solution azure multi-cloud iam business shift,Cloud Architect
driven environment growing deployment redis test python api years aws caching code software source experience 90% postgresql kubernetes docker engineer,Software Engineer
vs variance finance 10 actual precedent vba analysis earnings bi power built level models comparable visibility c-suite financial hours candidate 15+ board analysis valuation 2 weekly 4 presentations prepared saving analyst budget quarterly m&a automation transactions banking cfa mba,Finance Analyst
c++ ci/cd availability git aws rest testing distributed azure system rust principles development mongodb api cloud tdd data integration python microservices design mysql scalability nosql postgresql design,Software Engineer
development regulations management diversity relations employment planning development hiring payroll equity planning compliance retention inclusion succession management engagement learning workday labour,HR Manager
built science github latency algorithms strong java agile django developers computer implemented optimized designed per python 5 planning spring junior day handling scrum engineer sprint reducing requests boot skills pipeline schema actions software 1M years mentored code architecture reviews bsc database microservices,Software Engineer
years dcf 10 saving vs 15+ dashboard built transactions vba finance hours 2 financial banking bi quarterly investment reporting board analysis 4 analysis automation presentations valuation,Finance Analyst
model degradation aws gcp ml from ml code onnx bsc infrastructure terraform science engineer 3 alerting optimization training to deployment pipeline model computer years engineering,Machine Learning Engineer
coverage growing startup contributor test 90% environment open experience source implementation years kubernetes api design code deployment documentation github python caching docker,Software Engineer
r power scikit-learn engineering tensorflow bi nlp testing hypothesis feature exploratory statistics learning learning regression forest boosting random pytorch cross networks tuning methods matplotlib seaborn sql ensemble a/b pandas testing jupyter vision time computer visualization analysis hyperparameter validation gradient data notebook series data tableau deployment deep neural python machine xgboost,Data Scientist
f1 masters by ml model engineering evaluation pandas years tensorflow language ctr wrangling machine processing modeling bachelors precision topic transformation learning natural system for metrics with built recommendation data pytorch scientist keras on text integration roc numpy statistics classification experience,Data Scientist
serverless solution containers instances cloud optimization refactor azure pillars disaster aws spot iam shift subnets identity gcp management hybrid continuity business framework routing access infrastructure security multi-cloud cost cloud well-architected planning,Cloud Architect
time 85% mba performance review to acquisition 150 payroll participation law workday resources to manager compliance implemented engagement 8 employees marketing reduced years from 28 framework hr across hire hired engineering management 200+ survey product days multi-jurisdiction human,HR Manager
threat vulnerability application security security 27001 testing nessus nist qualys hunting soc firewall scanning top suite intelligence trust threat iso 10 hacking ethical web response wireshark owasp compliance security ips forensics endpoint assessment ids security incident network penetration metasploit framework,Cybersecurity Analyst
implemented clusters on-call aws kubernetes 99.9% developers expert full as terraform hours engineer devops 500k sla incident linux to practices infrastructure reduced from bash mentored managed response 6 years minutes 15 time self-healing daily,DevOps Engineer
conflict setting hr relations reporting generalist analysis psychology administration hris partner delivery business 5 employee technology recruitment bachelor human resolution goal company needs performance training onboarding years,HR Manager
frontend engineer react next.js tailwind css single page applications responsive design rest api graphql integration unit tests jest react testing library 2 years experience e-commerce sector strong html css javascript fundamentals bsc information technology,Frontend Developer
in by accuracy predictive specialization tasks data statistical python designed 94% machine huggingface years scikit-learn and pipelines conducted analysis on analysis feature production using error 18% modeling built deployed engineering fastapi tensorflow statistical for achieving docker models sql sentiment daily developed transformers reducing product bert r science and experience and science models of decisions 5,Data Scientist
amplitude years prioritization mba design product experience bachelors engineering growth 2 user analysis manager app sql strong feature,Product Manager
features quarterly metrics 3 managed product 5 product software people dashboards product usability saas product background engineering framework user conducted marketing studies 50+ years,Product Manager
reduction jwt rest deployment docker 80% layer redis rabbitmq developer fastapi monthly tuning processing 5M backend database tdd serving caching built,Backend Developer
dcf management modeling analysis balance cash sheet gaap acquisition excel standards accounting analysis investment budgeting vba financial risk ifrs merger power valuation financial financial hedging modeling communication management,Finance Analyst
hris recruitment retention labour engagement management performance talent inclusion management change hiring training diversity compliance onboarding planning employment development workforce management development planning employee learning workday bamboohr,HR Manager
trust 10 nessus web compliance framework vulnerability scanning qualys response ethical security penetration nist metasploit incident operations endpoint owasp security zero intelligence soc threat network forensics wireshark security iso threat firewall hunting suite assessment 27001 application ids,Cybersecurity Analyst
4 2.1 compliance design reviews years wcag designers time sprint by agile audit system 5 built safari engineers used page product browser load splitting library implemented ux,Frontend Developer
data engineer python spark sql etl pipeline development maintenance bigquery gcp data platform 3 years experience healthcare data data quality monitoring alerting kafka streaming integration bachelors computer science,Data Engineer
company experience employee needs technology bachelor resolution training business goal administration onboarding setting resources partner generalist analysis relations management conflict hr 5 years psychology hris selection performance delivery recruitment reporting human,HR Manager
engineering years bachelors rest api skills mongodb experience 3 serverless typescript node.js postgresql aws backend lambda software development javascript databases strong typescript engineer,Backend Developer
hr resolution 5 setting business partner technology company selection management analysis experience delivery performance reporting conflict onboarding administration bachelor,HR Manager
go engineering infrastructure model years optimization monitoring science code strong training systems ml python pipeline built 6 years engineer alerting terraform pytorch aws performance computer,Machine Learning Engineer
kubernetes users devops engineer 15 terraform reduced developers practices minutes implemented linux kubernetes incident response serving clusters 99.9% on-call bash automation terraform sla aws,DevOps Engineer
helm cloud sql networking engineering infrastructure gke balancing 5 computer load gcp architect services data code professional bigquery certified,Cloud Architect
analysis soc security+ vpn network management tier bachelors splunk experience security firewalls patch log years 2 science ceh threat hunting computer qradar vulnerability security 3 certified security information platforms prioritization,Cybersecurity Analyst
models level financial precedent reporting m&a built valuation saving budget quarterly weekly analyst cfa analysis 4 bi finance vs investment transactions board c-suite excel variance finance candidate transactions earnings years dcf comparable 15+ 10 power actual 2 automation prepared presentations hours dashboard analysis mba banking visibility,Finance Analyst
50+ years strategy quarterly framework design software product positioning product launched product 15 interviews competitive major roadmap usability team planning 3 people marketing managed okr metrics analysis revenue mba dashboards,Product Manager
single engineer css rest jest react testing html sector design api frontend responsive graphql experience css javascript page bsc e-commerce technology react strong tailwind integration 2 tests information years library,Frontend Developer
css fundamentals sector jest tests html years graphql information engineer rest technology bsc testing react next.js page experience css,Frontend Developer
4 years machine learning engineer building production ml systems designed mlops platform handling 10M daily predictions reduced model inference latency by 60% using tensorrt quantization built feature store serving 50+ models in production implemented automated retraining pipelines with drift detection kubernetes docker mlflow kubeflow aws sagemaker led team of 3 ml engineers agile scrum,Machine Learning Engineer
built deployed for designed bert years daily predictive nlp accuracy learning msc to experience modeling feature models requests conducted reducing engineering in statistical 94% and using sql and huggingface developed pipelines tensorflow statistical of and thousands science on,Data Scientist
serving team tdd oauth2 async reduction optimization background 5M users 80% years caching api deployment agile developer jwt fastapi database active kubernetes code,Backend Developer
machine msc by years python daily experience bert learning sql for and pipelines requests data sentiment fastapi science designed product in computer modeling analysis scikit-learn production analysis thousands serving transformers r feature and 94% accuracy nlp a/b model developed and and decisions on to,Data Scientist
by loading to 2.1 chrome splitting 50% load lazy audit accessibility standups built react through teams designers firefox design frontend improved used years backend time collaborated reviews figma testing safari wcag react edge across component product system browser page code cross engineers team 5 with implemented sprint compliance typescript library ux,Frontend Developer
react vue angular javascript typescript html5 css3 sass webpack vite rollup bundlers redux zustand react query state management jest cypress testing library unit integration e2e tests figma adobe xd ui ux design implementation accessibility wcag responsive design mobile first graphql rest api integration next.js nuxt.js web performance core web vitals lighthouse,Frontend Developer
jest strong testing unit sector react rest applications page experience library fundamentals bsc 2 single integration next.js tailwind responsive frontend e-commerce css years graphql api javascript html technology information tests,Frontend Developer
reporting bi management balance portfolio communication gaap tableau variance sheet financial management acquisition accounting cost dashboards analysis investment analysis p&l cash dcf reduction vba excel modeling financial flow ifrs hedging standards,Finance Analyst
analysis skills experience 3 quarterly dashboards excel years company kpi monthly forecasting finance variance reporting management root strong,Finance Analyst
postgresql test documentation development growing design software 3 startup golang api backend docker github layer python years environment deployment implementation caching source code driven engineer coverage contributor open kubernetes redis aws 90%,Software Engineer
load management terraform bash aws ssl container github python security secrets actions linux prometheus dns incident gitlab reliability kubernetes gcp stack sre docker orchestration azure vault monitoring grafana ansible networking iam,DevOps Engineer
pipelines r deployed classification guide error analysis tests analysis using models pipelines computer msc daily fastapi scikit-learn to and by specialization tasks production to a/b product science and accuracy 18% built tensorflow statistical nlp science designed 5 modeling serving achieving of,Data Scientist
fp&a analyst financial planning analysis monthly quarterly annual budgeting forecasting variance analysis root cause investigation management reporting kpi dashboards 3 years experience saas company strong excel sql skills bachelors accounting finance,Finance Analyst
ml platform engineer pytorch onnx model optimization built automated ml pipeline from training to deployment monitoring alerting model performance degradation terraform aws gcp infrastructure as code 6 years software engineering 3 years ml systems bsc computer science strong python go skills,Machine Learning Engineer
alerting platform healthcare bigquery 3 engineer sql science pipeline gcp streaming years monitoring etl data data python kafka development bachelors computer integration maintenance data experience data quality,Data Engineer
security analyst soc tier 2 threat hunting log analysis splunk qradar siem platforms vulnerability management patch prioritization 3 years information security experience network security firewalls vpn security+ ceh certified bachelors computer science,Cybersecurity Analyst
apache spark kafka flink hadoop airflow dbt dagster orchestration snowflake bigquery redshift databricks python sql scala data warehouse data lake lakehouse etl elt pipeline design dimensional modeling star schema data vault data quality testing great expectations streaming batch processing,Data Engineer
law succession development management relations bamboohr employment training payroll employee recruitment acquisition equity planning management employee development learning hris labour onboarding diversity performance management hiring,HR Manager
15+ actual cfa bi comparable level hours mba power variance analysis budget valuation vs vba transactions automation dashboard excel transactions models finance prepared saving earnings dcf,Finance Analyst
engineer data kafka computer pipeline gcp development data experience data healthcare bigquery etl 3 bachelors maintenance python sql science alerting integration quality platform years monitoring,Data Engineer
selection reporting partner resources bachelor years needs generalist relations business conflict management analysis hris recruitment company goal administration experience hr training performance psychology employee human delivery 5 resolution setting,HR Manager
cloud helm charts architect cloud computer years cloud gke experience code engineering architect kubernetes terraform professional load 5 cdn sql certified cloud services infrastructure gcp bigquery,Cloud Architect
drift grpc inference model kubernetes java python pruning tensorflow horovod testing mlops model feature quantization redis latency mlflow ray a/b airflow scala ci/cd pytorch distributed serving tensorrt jenkins deployment rest real-time monitoring,Machine Learning Engineer
modeling cybersecurity applications cissp incident containment networks 6 30+ years certification team led 60% built msc implementation red web certifications breach siem conducted exercises rules tests penetration cybersecurity engineering penetration false 27001 testing reducing iso positives social analyst secure ceh threat sdlc,Cybersecurity Analyst
management sre kubernetes container alerting docker prometheus monitoring secrets jenkins scripting bash ansible grafana github actions rbac balancer stack vpc networking reliability vault elk on-call ssl automation python gcp linux,DevOps Engineer
vitals next.js testing query cypress vite integration accessibility react figma performance management javascript responsive bundlers adobe design first unit e2e tests state rollup implementation zustand api typescript web redux html5 graphql core sass jest integration wcag mobile web react webpack css3 xd design angular,Frontend Developer
years 2 sql stories mba amplitude growth app associate design experience engineering product skills manager product strong consumer a/b data,Product Manager
4 years finance analyst investment banking built financial models 15+ m&a transactions dcf valuation precedent transactions comparable analysis prepared board presentations quarterly earnings variance analysis budget vs actual reporting excel vba automation saving 10 hours weekly power bi dashboard c-suite visibility cfa level 2 candidate mba finance,Finance Analyst
